,name,rating,date,heading,review,rating_num,date_dt,heading_len,review_len,heading_clean,review_clean
61,Scott T.,4.0 star rating,12/20/2021,👍,👍,4,12/20/2021,1,1,[],[]
62,Kim J.,5.0 star rating,12/20/2021,vitamins plus customer service,"my family has been using another powdered vitamin but they all complain about drinking it. when we heard about ag1 on huberman lab i decided to try it. it was so good, less gas and tasted great that i decided to order for my adult kids too. when it didn't arrive michael followed up and we are happily drinking our greens once again! great vitam...read moreread more about review stating vitamins plus customer serviceins, fabulous taste and really nice people to work with! read lessread less about review stating vitamins plus customer service",5,12/20/2021,4,93,"['vitamin', 'plus', 'customer', 'service']","['family', 'using', 'another', 'powdered', 'vitamin', 'complain', 'drinking', 'heard', 'ag1', 'huberman', 'lab', 'decided', 'try', 'good', 'le', 'gas', 'tasted', 'great', 'decided', 'order', 'adult', 'kid', 'arrive', 'michael', 'followed', 'happily', 'drinking', 'great', 'vitamread', 'moreread', 'review', 'stating', 'vitamin', 'plus', 'customer', 'serviceins', 'fabulous', 'taste', 'really', 'nice', 'people', 'work', 'read', 'lessread', 'le', 'review', 'stating', 'vitamin', 'plus', 'customer', 'service']"
63,Liz B.,1.0 star rating,12/20/2021,flavor could be better,i did not like the tastes!,1,12/20/2021,4,6,"['flavor', 'could', 'better']","['like', 'taste']"
64,Harriet T.,5.0 star rating,12/20/2021,ag,so happy andrew huberman recommended ag. i can use it anytime of day but love it mid morning for a boost between meals. great clarity on ingredients and quality. also love that i received a canister to refill with just a bag of product being sent on reorders to reduce waste.,5,12/20/2021,1,51,['ag'],"['happy', 'andrew', 'huberman', 'recommended', 'ag', 'use', 'anytime', 'day', 'love', 'mid', 'morning', 'boost', 'meal', 'great', 'clarity', 'ingredient', 'quality', 'also', 'love', 'received', 'canister', 'refill', 'bag', 'product', 'sent', 'reorder', 'reduce', 'waste']"
65,Michael R.,5.0 star rating,12/20/2021,great product,love the product and results. it is a bit expensive,5,12/20/2021,2,10,"['great', 'product']","['love', 'product', 'result', 'bit', 'expensive']"
66,Lauren G.,5.0 star rating,12/20/2021,i love them but cannot afford them!,"tried them for a month, love them but the price is unsustainable for me. thank you!",5,12/20/2021,7,16,"['love', 'afford']","['tried', 'month', 'love', 'price', 'unsustainable', 'thank']"
67,Michelle H.,5.0 star rating,12/20/2021,love love love it!,love love love it!,5,12/20/2021,4,4,"['love', 'love', 'love']","['love', 'love', 'love']"
68,Maryann J.,5.0 star rating,12/20/2021,awesome,i’ve been using ag for years and can feel the full benefits of a superior multi vitamin. i’ll never go back to store bought.,5,12/20/2021,1,24,['awesome'],"['ive', 'using', 'ag', 'year', 'feel', 'full', 'benefit', 'superior', 'multi', 'vitamin', 'ill', 'never', 'go', 'back', 'store', 'bought']"
69,Brenda L.,5.0 star rating,12/20/2021,a daily must have!!!!,i drink my ag first thing every morning. the best way to start my day. the quality is amazing. tastes great. energizes me. helps so much with bloating. just an overall great balance for your gut. it’s like a hug….. for your gi system! lifetime customer here!,5,12/20/2021,4,47,"['daily', 'must']","['drink', 'ag', 'first', 'thing', 'every', 'morning', 'best', 'way', 'start', 'day', 'quality', 'amazing', 'taste', 'great', 'energizes', 'help', 'much', 'bloating', 'overall', 'great', 'balance', 'gut', 'like', 'hug', 'gi', 'system', 'lifetime', 'customer']"
70,Stryker L.,5.0 star rating,12/20/2021,all around solid supplement,"ag is a great addition to my daily eating - tastes great and feels good to know that whether or not i eat enough veggies, ag had me covered.",5,12/20/2021,4,29,"['around', 'solid', 'supplement']","['ag', 'great', 'addition', 'daily', 'eating', 'taste', 'great', 'feel', 'good', 'know', 'whether', 'eat', 'enough', 'veggie', 'ag', 'covered']"
